Source;Target;Type;Weight
16;333;Undirected;0.32528790906659283
16;68;Undirected;0.324254000971091
68;333;Undirected;0.3056003675591805
230;571;Undirected;0.29712270099639565
168;394;Undirected;0.2941116891792719
549;580;Undirected;0.2939606617049215
164;184;Undirected;0.29300908365402073
106;107;Undirected;0.2914800583662676
184;559;Undirected;0.2889582148131248
11;960;Undirected;0.2887616248856635
151;732;Undirected;0.28483195898796804
68;680;Undirected;0.2826011722571922
546;549;Undirected;0.28021902136741744
391;619;Undirected;0.2798655967567217
160;230;Undirected;0.2779352114137332
85;898;Undirected;0.2751134046348045
333;680;Undirected;0.27271788412321424
16;680;Undirected;0.2727141732939038
68;74;Undirected;0.2705198602365534
80;292;Undirected;0.2691141915808775
185;415;Undirected;0.26617089827328905
310;493;Undirected;0.2646467607518147
173;641;Undirected;0.2608655602490773
188;629;Undirected;0.2602712258513639
160;571;Undirected;0.25949221325106503
262;263;Undirected;0.259014658369859
423;546;Undirected;0.2574978609788446
110;732;Undirected;0.2569488048750633
515;695;Undirected;0.2529957300133075
68;956;Undirected;0.2517873353019365
24;313;Undirected;0.25133625703120005
74;680;Undirected;0.2507376109831575
263;327;Undirected;0.2504827571900413
356;396;Undirected;0.249996805612836
230;411;Undirected;0.24927555234923424
521;834;Undirected;0.2477973800909932
310;334;Undirected;0.2462952044268928
433;625;Undirected;0.24618154492255045
629;979;Undirected;0.2449919379404857
95;230;Undirected;0.24424147588375436
495;792;Undirected;0.2433574190602684
421;576;Undirected;0.2422151029600912
207;836;Undirected;0.24077437839611485
150;673;Undirected;0.2391939856192956
411;755;Undirected;0.23893208588738502
211;265;Undirected;0.2385025763295732
334;493;Undirected;0.2368408982586173
207;919;Undirected;0.2367710453299007
151;505;Undirected;0.23532505062506565
88;646;Undirected;0.2347038213808077
69;483;Undirected;0.2331287987491752
188;979;Undirected;0.232517788614196
606;923;Undirected;0.23186209866762436
178;382;Undirected;0.23103693052462576
414;822;Undirected;0.230765862714046
497;842;Undirected;0.2304300264207328
302;310;Undirected;0.2304196068614652
164;559;Undirected;0.2298821175004977
124;333;Undirected;0.2297511883471956
716;850;Undirected;0.2291740585959816
203;892;Undirected;0.2290795194796894
147;950;Undirected;0.2286347502317048
421;573;Undirected;0.2284213163395059
63;185;Undirected;0.2283337499374181
283;341;Undirected;0.2281782136893453
110;151;Undirected;0.2276935337486023
326;615;Undirected;0.2269282154818316
203;716;Undirected;0.22494908644131487
41;63;Undirected;0.2243803776981581
60;988;Undirected;0.2242386751688452
495;831;Undirected;0.2242043014865253
466;573;Undirected;0.22405444407137912
126;826;Undirected;0.22404525697998465
230;755;Undirected;0.22375638764278585
411;571;Undirected;0.2236384285089148
292;356;Undirected;0.22356217672680884
472;800;Undirected;0.2231242831747872
42;141;Undirected;0.22278231474855573
318;444;Undirected;0.22268655508798335
292;389;Undirected;0.22145397216044294
565;704;Undirected;0.22144959358107796
74;333;Undirected;0.22113517464446347
184;530;Undirected;0.22102363997915736
450;587;Undirected;0.22060240156313055
46;475;Undirected;0.2201786221779379
433;473;Undirected;0.2193847377772194
571;755;Undirected;0.2191360348966536
74;124;Undirected;0.2191042998727007
160;411;Undirected;0.21902131479360387
326;667;Undirected;0.21898508164929695
41;310;Undirected;0.2187472274512356
58;133;Undirected;0.2183323110719545
406;482;Undirected;0.21805986040910588
498;963;Undirected;0.2177216889802555
421;466;Undirected;0.2173375168778124
449;537;Undirected;0.21716146058815813
479;505;Undirected;0.21711948444788415
38;483;Undirected;0.21648731775757085
207;625;Undirected;0.21646452446419173
207;433;Undirected;0.21636495343073725
124;680;Undirected;0.21597024752727373
302;493;Undirected;0.2159074396198106
145;264;Undirected;0.21560376219721072
103;641;Undirected;0.21493068946466315
732;911;Undirected;0.2148414275148315
279;795;Undirected;0.21448303588721512
110;189;Undirected;0.21428116810755507
125;396;Undirected;0.21409949563254035
505;732;Undirected;0.21383140396769892
607;836;Undirected;0.21332955137089105
646;721;Undirected;0.2129386254348016
292;396;Undirected;0.2123999637735255
625;880;Undirected;0.21232091356736096
97;786;Undirected;0.21224079596199866
68;124;Undirected;0.21166714490682315
