Id;Label
0;+44
2;2pac
3;3 doors down
4;30 seconds to mars
5;311
6;36 crazyfists
7;50 cent
8;65daysofstatic
10;a day to remember
11;a perfect circle
12;a tribe called quest
14;aaliyah
16;above & beyond
17;ac/dc
19;adele
20;adema
21;aerosmith
22;aesop rock
23;afi
24;after forever
25;against me!
26;agalloch
28;air
30;akon
31;al green
33;alexisonfire
34;alice cooper
35;alice in chains
36;alicia keys
37;alkaline trio
38;all that remains
39;all time low
40;alter bridge
41;amon amarth
42;amon tobin
43;amorphis
45;amy winehouse
46;anathema
47;anberlin
48;andrew bird
49;angels & airwaves
51;animal collective
52;anna ternheim
53;anthrax
54;anti-flag
55;antonio vivaldi
56;antony and the johnsons
57;antônio carlos jobim
58;aphex twin
59;apocalyptica
60;apoptygma berzerk
61;apparat
62;arcade fire
63;arch enemy
64;architecture in helsinki
66;arctic monkeys
68;armin van buuren
69;as i lay dying
70;ashlee simpson
72;at the drive-in
73;at the gates
74;atb
76;atmosphere
77;atreyu
78;audioslave
79;autechre
80;avantasia
81;avenged sevenfold
82;avril lavigne
83;ayreon
85;babyshambles
86;backstreet boys
87;bad brains
88;bad religion
90;band of horses
92;basement jaxx
93;basshunter
95;bathory
97;bauhaus
98;beastie boys
99;beatsteaks
101;beck
103;behemoth
104;beirut
105;belle and sebastian
106;ben folds
107;ben folds five
109;benny benassi
110;beyoncé
112;bill evans
113;billie holiday
115;billy joel
116;billy talent
117;biosphere
118;björk
119;black eyed peas
120;black flag
121;black label society
123;black sabbath
124;blank & jones
125;blind guardian
126;blink-182
127;bloc party
130;bloodbath
132;blur
133;boards of canada
134;bob dylan
135;bob marley
136;bob marley & the wailers
137;bob sinclar
138;bon iver
139;bon jovi
141;bonobo
142;booka shade
143;bowling for soup
144;boys like girls
145;boys noize
146;brand new
147;breaking benjamin
149;bright eyes
150;bring me the horizon
151;britney spears
152;broken social scene
153;bruce springsteen
155;bt
157;built to spill
158;bullet for my valentine
159;burial
160;burzum
162;busta rhymes
164;caetano veloso
168;caliban
170;camel
171;camera obscura
173;cannibal corpse
174;cansei de ser sexy
175;captain beefheart & his magic band
176;carcass
178;cascada
179;cat power
181;chet baker
182;chevelle
183;chicane
184;chico buarque
185;children of bodom
186;chimaira
187;chiodos
188;chris brown
189;christina aguilera
192;circa survive
193;city and colour
194;clap your hands say yeah
196;clueso
197;cobra starship
198;cocorosie
199;cocteau twins
201;colbie caillat
203;coldplay
204;coma
205;combichrist
207;common
208;converge
209;corinne bailey rae
211;cradle of filth
212;craig david
213;cream
214;creed
215;creedence clearwater revival
216;crystal castles
217;cunninlynguists
218;cursive
219;curtis mayfield
220;cut copy
221;cute is what we aim for
225;daft punk
226;damian marley
229;dark tranquillity
230;darkthrone
231;dashboard confessional
232;dave matthews band
233;david bowie
235;david guetta
236;de la soul
237;de-phazz
238;dead can dance
239;dead kennedys
240;deadmau5
