Artist,X,Y,Class
"social distortion",-778.452880859375,-44.919315338134766,0
"regina spektor",383.47479248046875,274.8381042480469,0
"daft punk",632.802978515625,130.77725219726562,0
"stone temple pilots",235.24595642089844,-350.62921142578125,0
"ludwig van beethoven",-965.7183227539062,958.6742553710938,0
"carcass",-164.810791015625,-792.32470703125,0
"lou reed",208.15138244628906,-78.3116455078125,0
"rush",650.3888549804688,-764.48876953125,0
"koЯn",-26.241674423217773,-406.61419677734375,0
"fear factory",-285.1021423339844,-430.0194091796875,0
"apocalyptica",154.80804443359375,-605.6489868164062,0
"papa roach",-164.4378662109375,-217.55938720703125,0
"the black dahlia murder",-472.96221923828125,-665.9923095703125,0
"leonard cohen",486.7392578125,-212.9686279296875,0
"john lennon",413.6633605957031,1366.648681640625,0
"avenged sevenfold",-237.31202697753906,-404.83563232421875,0
"pink",-463.4777526855469,624.1639404296875,0
"skid row",439.9017639160156,-557.4205932617188,0
"cradle of filth",-74.32433319091797,-717.0364379882812,0
"håkan hellström",-461.206787109375,-1012.27783203125,0
"josé gonzález",208.38333129882812,661.0531616210938,0
"orbital",989.1815795898438,446.3615417480469,0
"tv on the radio",266.2997131347656,440.1803283691406,0
"mf doom",101.8491439819336,955.4102172851562,0
"die toten hosen",394.668212890625,915.42724609375,0
"ozzy osbourne",235.19349670410156,-538.8827514648438,0
"black sabbath",221.078857421875,-464.2678527832031,0
"imogen heap",-1171.17138671875,-501.68670654296875,0
"senses fail",-366.67626953125,-323.742919921875,0
"marilyn manson",-5.441895484924316,-563.5234375,0
"outkast",-136.05972290039062,880.1312255859375,0
"a day to remember",-556.0430908203125,-215.85040283203125,0
"john coltrane",-1188.3267822265625,247.03695678710938,0
"the stone roses",-65.41131591796875,1477.1904296875,0
"shpongle",-809.244384765625,-1461.8348388671875,0
"john mayer",-151.82814025878906,221.99232482910156,0
"atmosphere",-3.2600772380828857,867.5060424804688,0
"the magnetic fields",338.36431884765625,361.289794921875,0
"kent",-631.47607421875,-997.7117309570312,0
"saosin",-423.4940185546875,-389.15081787109375,0
"blank & jones",-885.1302490234375,-508.29241943359375,0
"caetano veloso",-905.0440063476562,570.864501953125,0
"testament",-9.695901870727539,-736.7791748046875,0
"clueso",291.4902648925781,1043.98388671875,0
"george harrison",276.0644836425781,1474.2445068359375,0
"the postal service",282.7143249511719,154.34095764160156,0
"apparat",-458.6080322265625,1281.81689453125,0
"editors",185.71641540527344,-55.78562927246094,0
"jamie cullum",-684.8466796875,483.285888671875,0
"depeche mode",514.9879150390625,-1.9459540843963623,0
"burial",1018.4141845703125,235.8839111328125,0
"usher",-369.38427734375,596.6424560546875,0
"nirvana",159.2738494873047,-125.20059204101562,0
"the knife",844.8633422851562,523.1802978515625,0
"tom waits",298.0482482910156,-121.59239196777344,0
"a perfect circle",241.7726287841797,-408.7580871582031,0
"michael jackson",-199.14491271972656,623.3578491210938,0
"dope",-96.815185546875,-413.11419677734375,0
"leona lewis",-203.82199096679688,433.7542419433594,0
"the veronicas",-559.7952880859375,243.90231323242188,0
"m.i.a.",923.0682373046875,964.18896484375,0
"okkervil river",173.77821350097656,278.21240234375,0
"switchfoot",-417.85321044921875,-116.46202850341797,0
"soilwork",128.21823120117188,-744.579833984375,0
"brand new",-309.4102783203125,-113.97175598144531,0
"koop",1178.7874755859375,-173.69752502441406,0
"justice",759.9088134765625,513.8005981445312,0
"seeed",535.8464965820312,1004.2572021484375,0
"taking back sunday",-366.7587890625,-20.35425567626953,0
"bad religion",-586.345703125,-51.01845169067383,0
"keane",-25.6206111907959,154.5901641845703,0
"sheryl crow",1193.94580078125,-784.6434936523438,0
"nick drake",434.3177795410156,396.39044189453125,0
"therion",363.4368591308594,-1006.6976318359375,0
"tosca",1116.728759765625,-4.860085964202881,0
"hypocrisy",-97.21296691894531,-857.3436279296875,0
"black label society",57.6923828125,-449.1664123535156,0
"rhapsody of fire",343.94036865234375,-546.0313110351562,0
"britney spears",-221.66847229003906,475.33197021484375,0
"anthrax",4.551107883453369,-729.6680908203125,0
"bad brains",-825.194091796875,-98.74571228027344,0
"katie melua",-684.0994873046875,243.8775634765625,0
"ulver",103.56587219238281,-1111.1239013671875,0
"peaches",-1294.298095703125,-693.6395263671875,0
"bon iver",298.9330749511719,427.2912292480469,0
"deathstars",-158.58148193359375,-468.278076171875,0
"iron maiden",250.02053833007812,-696.29248046875,0
"joanna newsom",480.974609375,503.8446350097656,0
"all that remains",-405.02789306640625,-525.9598999023438,0
"duffy",-696.7491455078125,992.4300537109375,0
"dimmu borgir",75.13047790527344,-739.9041748046875,0
"prince",-727.7574462890625,1272.07861328125,0
"deerhunter",436.0270690917969,542.0746459960938,0
"guano apes",-66.07106018066406,-423.1071472167969,0
"the jesus and mary chain",626.71875,-125.07904052734375,0
"ill niño",-139.50048828125,-470.9725646972656,0
"fleet foxes",288.8753662109375,393.495361328125,0
"sublime",-1252.156005859375,-171.62879943847656,0
"miley cyrus",-605.1012573242188,353.25970458984375,0
"katy perry",-484.69110107421875,514.5772094726562,0
"angels & airwaves",429.75701904296875,-1499.494384765625,0
"soulfly",-125.09484100341797,-724.8291625976562,0
"pennywise",-524.8427124023438,-43.0921516418457,0
"drowning pool",-106.41854095458984,-410.8673400878906,0
"me first and the gimme gimmes",-572.4202880859375,-47.52299499511719,0
"breaking benjamin",-154.50253295898438,-329.9934387207031,0
"primal scream",-1.522333025932312,1467.7760009765625,0
"coma",282.5913391113281,1301.171630859375,0
"say anything",-286.99005126953125,-19.437023162841797,0
"vangelis",-1004.9593505859375,-885.3839111328125,0
"parkway drive",-325.3275146484375,-485.0114440917969,0
"lady gaga",-244.99179077148438,541.5040893554688,0
"bullet for my valentine",-263.83123779296875,-630.1630249023438,0
"the future sound of london",1081.4796142578125,220.5465087890625,0
"symphony x",433.47564697265625,-736.0101928710938,0
"juanes",-1529.8321533203125,-334.4870300292969,0
"broken social scene",89.32086944580078,497.1549072265625,0
"eluveitie",-32.90930938720703,-869.015380859375,0
"the clash",276.2010803222656,34.260868072509766,0
"melvins",118.49254608154297,-68.68811798095703,0
"the jimi hendrix experience",435.3055114746094,-280.6778869628906,0
"deftones",164.07315063476562,-441.5623474121094,0
"ac/dc",133.00213623046875,-564.6614990234375,0
"rjd2",845.780029296875,225.56700134277344,0
"pj harvey",377.4085693359375,-11.434080123901367,0
"foo fighters",161.62042236328125,-164.39849853515625,0
"hoobastank",35.090553283691406,-284.6352844238281,0
"erykah badu",-335.0549621582031,1059.052734375,0
"blink-182",-276.3693542480469,-205.35020446777344,0
"descendents",-873.029296875,-168.75318908691406,0
"pearl jam",274.7906188964844,-326.5315246582031,0
"staind",-226.30799865722656,-334.1333312988281,0
"dropkick murphys",-689.6965942382812,136.77560424804688,0
"finntroll",34.93506622314453,-816.1463012695312,0
"wu-tang clan",77.69982147216797,771.9295654296875,0
"pendulum",582.4220581054688,34.584537506103516,0
"dj krush",954.3629150390625,135.41673278808594,0
"chicane",-718.5259399414062,-560.6256713867188,0
"the 69 eyes",74.16996765136719,-602.3671264648438,0
"thelonious monk",-1187.677001953125,245.67269897460938,0
"jordin sparks",-250.51963806152344,580.1941528320312,0
"kaiser chiefs",152.26661682128906,-82.94430541992188,0
"pink floyd",260.4399719238281,-178.08795166015625,0
"talib kweli",31.143720626831055,914.8010864257812,0
"mudvayne",-104.0739517211914,-409.25616455078125,0
"guns n roses",277.4989013671875,-481.87847900390625,0
"the beach boys",380.97613525390625,-65.05313110351562,0
"ben folds",-1181.78173828125,608.9413452148438,0
"above & beyond",-814.4927978515625,-670.7628173828125,0
"sentenced",159.2037811279297,-961.9415893554688,0
"beck",242.83746337890625,7.008074760437012,0
